src_vid,dst_vid,ACT_TYPE,ACT_VALUE,ACT_SOURCE
113,Q9NR96,IC50,5.21,CHEMBL
113,P0C6X7,IC50,4.75,CHEMBL
113,Q932Y6,IC50,5.28,CHEMBL
113,Q8WUK0,IC50,7.97,SCIENTIFIC LITERATURE
114,P35372,EC50,8.5,WOMBAT-PK
114,P08183,IC50,3.951,WOMBAT-PK
114,P33535,Ki,8.09,CHEMBL
114,P97266,IC50,7.82,CHEMBL
114,P33533|P33535|P34975|Q9R0C9,Ki,8.09,CHEMBL
115,P35348,Ki,8.09,CHEMBL
115,P25100,Ki,8.44,CHEMBL
115,P35368,Ki,8.55,CHEMBL
115,P22303,IC50,7.75,CHEMBL
115,O15245,IC50,4.83,CHEMBL
115,P23944,Ki,8.46,CHEMBL
115,P18130,Ki,7.64,CHEMBL
119,P08684,Km,4.61,WOMBAT-PK
119,P08183,Km,5.678,WOMBAT-PK
119,P00797,IC50,9.22,WOMBAT-PK
119,Q9TSZ1,IC50,8.7,CHEMBL
119,Q6DLS0,IC50,8.1,CHEMBL
119,P08424,IC50,7.1,CHEMBL
119,P06281,IC50,8.35,CHEMBL
119,Q7M3D2,IC50,7.96,CHEMBL
119,Q9YQ12,Ki,7.12,CHEMBL
119,Q6DLW5,IC50,8.92,CHEMBL
120,P14416,Ki,7.15,WOMBAT-PK
120,P18825,Ki,7.0,WOMBAT-PK
120,P61169,IC50,6.7,CHEMBL
124,P47989,Ki,5.15,CHEMBL
124,P00492,,,WOMBAT-PK
124,P80457,Ki,6.0,CHEMBL
124,P22985,IC50,6.12,CHEMBL
124,Q9FBI2,IC50,4.62,CHEMBL
128,P28222,Ki,8.0,WOMBAT-PK
128,P28221,Ki,7.5,WOMBAT-PK
128,P30939,Ki,7.2,WOMBAT-PK
129,Q12809,IC50,5.64,CHEMBL
129,P41595,Ki,7.194,DRUG MATRIX
129,P46098,Ki,9.3,CHEMBL
129,P05177,IC50,6.218,DRUG MATRIX
130,P23975,Ki,6.0,DRUG MATRIX
130,P11473,,,WOMBAT-PK
133,P30531,,,WOMBAT-PK
133,P14867|P18507|P47870,EC50,5.699,WOMBAT-PK
133,O09028|P15431|P18506|P18508|P19969|P20236|P23574|P23576|P28471|P28473|P30191|P62813|P63079|P63138|Q91ZM7|Q9ES14,IC50,6.52,CHEMBL
133,P18507|P47869|P47870,EC50,5.7,CHEMBL
134,P30536,Ki,9.3,CHEMBL
134,O95342,IC50,5.04,CHEMBL
134,P16257,Ki,9.3,CHEMBL
134,O09028|P15431|P18506|P18508|P19969|P20236|P23574|P23576|P28471|P28473|P30191|P62813|P63079|P63138|Q91ZM7|Q9ES14,IC50,7.59,CHEMBL
134,O70127,IC50,4.64,CHEMBL
134,P14867,,,SCIENTIFIC LITERATURE
136,P08684,Ki,3.85,WOMBAT-PK
136,P25105,Ki,5.457,PDSP
136,P30551,IC50,4.19,CHEMBL
136,O60885,Kd,5.61,CHEMBL
136,P14867|P18507|P47870,EC50,7.432,WOMBAT-PK
136,P18507|P28472|P47869,EC50,7.921,WOMBAT-PK
136,P18507|P28472|P34903,EC50,7.161,WOMBAT-PK
136,P18507|P28472|P31644,EC50,8.0,WOMBAT-PK
137,P08908,Ki,7.67,CHEMBL
137,P28223,Ki,5.292,PDSP
137,P13945,Kd,6.86,CHEMBL
137,P19327,Ki,6.93,CHEMBL
137,Q02769,IC50,5.38,CHEMBL
137,Q28044,IC50,8.53,CHEMBL
137,P08588,Kd,9.678,SCIENTIFIC LITERATURE
137,P07550,Kd,9.658,SCIENTIFIC LITERATURE
138,P34995,EC50,6.8,WOMBAT-PK
138,P43115,EC50,9.0,WOMBAT-PK
138,P43119,EC50,7.5,WOMBAT-PK
138,P43116,EC50,8.0,WOMBAT-PK
138,P35408,EC50,8.8,WOMBAT-PK
138,Q13258,EC50,7.3,WOMBAT-PK
138,P35375,Ki,8.22,CHEMBL
138,Q62053,Ki,7.66,CHEMBL
138,P30557,Ki,8.3,CHEMBL
138,P32240,Ki,8.51,CHEMBL
138,Q62928,Ki,8.0,IUPHAR
138,P43114,Ki,9.2,IUPHAR
138,Q8NEC5,EC50,6.3,IUPHAR
138,Q96P56,EC50,6.3,IUPHAR
138,Q86XQ3,EC50,6.3,IUPHAR
138,Q7RTX7,EC50,6.3,IUPHAR
138,P43252,Ki,7.5,IUPHAR
138,P34980,EC50,9.35,IUPHAR
138,P70597,Ki,7.0,IUPHAR
141,P05177,IC50,5.398,DRUG MATRIX
143,P35372,Ki,9.398,WOMBAT-PK
143,P41145,Ki,7.0,CHEMBL
143,P41143,Ki,7.92,CHEMBL
143,P41144,Ki,8.3,CHEMBL
144,Q99720,Ki,7.69,CHEMBL
144,Q96FL8,IC50,4.42,CHEMBL
144,P63231,IC50,4.8,CHEMBL
144,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Ki,4.98,CHEMBL
144,Q20MD5,IC50,4.8,CHEMBL
144,P05778,Kd,6.5,CHEMBL
144,P0DOF8,EC50,6.18,CHEMBL
146,P22303,,,CHEMBL
146,P21836,Kd,4.34,CHEMBL
146,P23795,IC50,9.92,CHEMBL
147,P31645,Ki,5.744,DRUG MATRIX
147,P10635,IC50,6.254,DRUG MATRIX
147,Q9Y5Y9,,,WOMBAT-PK
147,P04062,IC50,5.39,CHEMBL
150,P04150,,,CHEMBL
155,P19328|P22086|P22909,IC50,4.72,CHEMBL
155,P15823|P23944|P43140,IC50,4.4,CHEMBL
156,P35462,Ki,6.184,DRUG MATRIX
156,P05186,,,WOMBAT-PK
157,O32553,Km,4.201,WOMBAT-PK
158,P37088,IC50,6.11,CHEMBL
158,P00749,Ki,5.16,WOMBAT-PK
158,P29274,Ki,5.48,WOMBAT-PK
158,P21397,IC50,5.408,DRUG MATRIX
158,P19634,IC50,4.22,CHEMBL
158,O15245,IC50,4.24,CHEMBL
158,Q16515,IC50,4.6,IUPHAR
158,P78348,IC50,5.0,CHEMBL
158,O08590,Ki,5.0,CHEMBL
158,Q9UHC3,IC50,5.36,CHEMBL
158,P37088|P51168|P51170,IC50,6.7,CHEMBL
158,Q9W6Q1,IC50,4.01,CHEMBL
158,Q14940,Ki,4.68,IUPHAR
158,P26431,Ki,6.0,IUPHAR
158,P50482,Ki,6.0,CHEMBL
158,P06869,Ki,5.64,CHEMBL
158,P55926,IC50,4.52,CHEMBL
160,P16083,IC50,6.36,CHEMBL
160,P28593,Ki,4.42,CHEMBL
161,P23977,IC50,6.0,CHEMBL
163,P00747,IC50,4.4,CHEMBL
163,P00750,,,DRUGBANK
164,P11511,IC50,5.11,WOMBAT-PK
164,P24557,IC50,4.73,CHEMBL
164,P05108,,,CHEMBL
164,P22443,EC50,6.59,CHEMBL
164,P00189,IC50,4.54,CHEMBL
165,Q4U2R8,Ki,5.22,CHEMBL
165,Q8VC69,Ki,5.03,CHEMBL
171,P35354,,,WOMBAT-PK
171,P23219,,,WOMBAT-PK
171,Q6XQN6,Ki,9.0,CHEMBL
172,P35228,IC50,7.4,IUPHAR
174,P14780,IC50,4.0,CHEMBL
174,P03956,IC50,4.51,CHEMBL
174,P15917,Ki,6.3,CHEMBL
174,P10845,IC50,5.14,CHEMBL
176,P08588,IC50,4.7,WOMBAT-PK
176,Q14524,IC50,7.1,WOMBAT-PK
176,P35372,Ki,5.112,DRUG MATRIX
176,P21728,Ki,5.34,DRUG MATRIX
176,P14416,Ki,5.177,DRUG MATRIX
176,P08913,IC50,6.3,WOMBAT-PK
176,Q99720,Ki,7.0,WOMBAT-PK
176,P10827,IC50,5.64,WOMBAT-PK
176,P10828,IC50,6.22,WOMBAT-PK
176,Q12809,IC50,5.0,WOMBAT-PK
176,P08684,Ki,6.22,WOMBAT-PK
176,Q15125,Ki,7.6,WOMBAT-PK
176,P08183,Ki,5.3,WOMBAT-PK
176,P31645,Ki,5.912,DRUG MATRIX
176,P23975,Ki,5.647,DRUG MATRIX
176,P28223,Ki,5.989,DRUG MATRIX
176,P41595,Ki,6.231,DRUG MATRIX
176,P28335,Ki,6.674,DRUG MATRIX
176,P50406,Ki,5.045,DRUG MATRIX
176,P18089,Ki,5.23,DRUG MATRIX
176,P35462,Ki,6.387,DRUG MATRIX
176,P25021,Ki,4.984,DRUG MATRIX
176,P11229,Ki,6.201,DRUG MATRIX
176,P08172,Ki,5.743,DRUG MATRIX
176,P20309,Ki,6.168,DRUG MATRIX
176,P08173,Ki,6.296,DRUG MATRIX
176,P08912,Ki,5.968,DRUG MATRIX
176,P13945,Ki,4.498,DRUG MATRIX
176,Q01959,Ki,5.701,DRUG MATRIX
176,P0DMS8,Ki,5.004,DRUG MATRIX
176,P21917,Ki,5.207,DRUG MATRIX
176,P41145,Ki,5.176,DRUG MATRIX
176,P41143,Ki,5.549,DRUG MATRIX
176,P11712,EC50,7.398,WOMBAT-PK
176,O95180,Ki,5.284,WOMBAT-PK
176,P25101,Ki,4.791,DRUG MATRIX
176,Q14534,IC50,4.92,CHEMBL
176,P06241,IC50,6.088,DRUG MATRIX
176,P04626,IC50,5.039,DRUG MATRIX
176,P37268,IC50,5.1,CHEMBL
176,P41597,Ki,5.368,DRUG MATRIX
176,P21452,Ki,5.191,DRUG MATRIX
176,P15207,Ki,4.55,DRUG MATRIX
176,P15917,IC50,5.46,CHEMBL
176,Q9Y3Q4,IC50,5.347,WOMBAT-PK
176,Q96RP8,IC50,6.0,WOMBAT-PK
176,P28564,Ki,4.407,DRUG MATRIX
176,P30411,Ki,5.115,DRUG MATRIX
176,P32245,Ki,4.879,DRUG MATRIX
176,P33032,Ki,5.05,DRUG MATRIX
176,P41968,Ki,4.967,DRUG MATRIX
176,P51679,Ki,4.943,DRUG MATRIX
176,P70580,IC50,6.932,DRUG MATRIX
176,P32352,Ki,7.21,CHEMBL
176,P25779,IC50,5.4,CHEMBL
176,Q9NVV9,IC50,6.19,WOMBAT-PK
176,P15389,IC50,5.7,IUPHAR
176,O75151,IC50,4.08,CHEMBL
176,P29375,IC50,4.0,CHEMBL
176,Q6ZMT4,IC50,4.1,CHEMBL
179,P08913,Ki,5.953,PDSP
179,P28223,Ki,5.081,PDSP
179,P41595,Ki,7.886,PDSP
179,P50406,Ki,5.382,PDSP
179,P34969,Ki,7.939,PDSP
179,P28222,Ki,5.758,PDSP
179,P28221,Ki,5.873,PDSP
179,P18825,Ki,5.812,PDSP
179,P21917,Ki,5.625,PDSP
179,P19020,Ki,7.4,IUPHAR
179,P14416,Ki,8.553,WOMBAT-PK
179,P35462,Ki,8.495,WOMBAT-PK
180,Q14524,IC50,5.8,CHEMBL
180,P21728,Ki,7.051,WOMBAT-PK
180,P14416,Ki,6.708,WOMBAT-PK
180,P08913,Ki,6.879,DRUG MATRIX
180,Q99720,IC50,6.25,WOMBAT-PK
180,Q12809,IC50,5.0,WOMBAT-PK
180,P31645,Kd,8.367,WOMBAT-PK
180,P23975,Kd,7.456,WOMBAT-PK
180,P08908,Ki,6.721,WOMBAT-PK
180,P28223,Ki,7.96,WOMBAT-PK
180,P41595,Ki,7.4,WOMBAT-PK
180,P28335,Ki,8.1,WOMBAT-PK
180,P50406,Ki,7.05,WOMBAT-PK
180,P34969,Ki,6.4,WOMBAT-PK
180,P35348,IC50,7.9,WOMBAT-PK
180,P18089,IC50,8.0,WOMBAT-PK
180,P35462,Ki,6.686,WOMBAT-PK
180,P21918,Ki,6.77,WOMBAT-PK
180,P35367,Ki,9.3,WOMBAT-PK
180,P25021,IC50,6.8,WOMBAT-PK
180,Q9H3N8,Ki,8.14,WOMBAT-PK
180,P11229,Ki,7.83,WOMBAT-PK
180,P08172,Ki,8.1,WOMBAT-PK
180,P20309,Ki,7.89,WOMBAT-PK
180,P08173,Ki,8.14,WOMBAT-PK
180,P08912,Ki,7.8,WOMBAT-PK
180,Q06278,IC50,6.585,WOMBAT-PK
180,P18825,Ki,8.066,DRUG MATRIX
180,Q99250,IC50,5.51,CHEMBL
180,Q15858,IC50,6.0,CHEMBL
180,Q01959,Ki,5.21,CHEMBL
180,P25100,Ki,8.252,DRUG MATRIX
180,P07949,IC50,6.0,CHEMBL
180,P04629,IC50,4.22,CHEMBL
180,O15245,IC50,4.77,CHEMBL
180,P15823,Ki,7.377,DRUG MATRIX
180,P28564,Ki,5.771,DRUG MATRIX
180,P43140,IC50,10.7,CHEMBL
180,P19327,IC50,5.7,CHEMBL
180,P31652,IC50,5.07,CHEMBL
180,P14842,Ki,8.4,IUPHAR
180,Q9WTR4,IC50,5.6,CHEMBL
180,P32305,Ki,7.0,IUPHAR
180,P32304,Ki,6.4,IUPHAR
180,P08909,Ki,8.1,IUPHAR
180,P31390,IC50,10.7,CHEMBL
180,P31388,Ki,7.2,IUPHAR
180,O15244,IC50,4.854,WOMBAT-PK
180,P08482|P08483|P08485|P08911|P10980,IC50,6.52,CHEMBL
180,P48542,IC50,4.0,IUPHAR
